f,N=4,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16
3480014.135,(551.8527283129408+309.095286766666j),(765.8967771080173+420.053469407334j),(1011.001628357454+546.0298612293963j),(1304.7911062433993+684.613486418239j),(1632.3316922962472+836.625586731183j),(2026.683363293764+986.9592217727986j),(2430.827872506457+1162.2188467643239j),(2932.1908844702693+1311.7161201657937j),(3486.114503951008+1452.6881378564j),(4084.022692804926+1587.40402109273j),(4776.2212591359+1657.9396183106421j),(5448.484902410688+1796.2211750733645j),(6228.001030731271+1821.1066069970657j)
3506566.165,(553.4203446967322+309.6049096727442j),(768.126058693198+420.6840786853918j),(1013.9941891042081+546.7879495328099j),(1308.780862743608+685.4082823250058j),(1637.4436406363473+837.4324803915379j),(2033.3386197440802+987.4475150163695j),(2438.924302245011+1162.583930607619j),(2942.41992206551+1311.187319905027j),(3498.735934216087+1450.8430978833949j),(4099.202174218653+1583.8744927642297j),(4794.437779806279+1651.316194947431j),(5469.383797835762+1787.4310944494866j),(6251.959714569222+1807.9572031683579j)
3533320.783,(554.9927362989579+310.1140912972665j),(770.3627295278166+421.3131183392462j),(1016.9971980313485+547.5430106238996j),(1312.7858436454576+686.1966588255176j),(1642.5762157248346+838.2286968416554j),(2040.0232591844601+987.9149227619821j),(2447.057224322575+1162.920638660729j),(2952.6973474868705+1310.6090468143557j),(3511.4174026730007+1448.919552364126j),(4114.451575711977+1580.230555158228j),(4812.72826689421+1644.5180439938435j),(5490.360128132883+1778.4218518686464j),(6275.982578624448+1794.508668911275j)
3560279.536,(556.5699266243264+310.6228140424708j),(772.6068307297203+421.9405503010186j),(1020.0107167189772+548.2949801893831j),(1316.8061454019448+686.9784938248529j),(1647.7295513578056+839.0140409005872j),(2046.7374688365237+988.3610753339915j),(2455.226864516103+1163.228471506066j),(2963.023404503386+1309.9804361152906j),(3524.1590853442503+1446.916136178787j),(4129.7708880441005+1576.4702371078604j),(4831.092122781561+1637.5422345270604j),(5511.412840874346+1769.189835631539j),(6300.067307283845+1780.756325788503j)
3587443.979,(558.1519393228439+311.1310600695329j),(774.8584036938923+422.5663359599332j),(1023.0348071648805+549.0437929764137j),(1320.8418650739727+687.7536633685919j),(1652.9037820627932+839.7883143363447j),(2053.4814362974967+988.7855970570652j),(2463.4334486272073+1163.5069215664605j),(2973.398333975237+1309.3006087494955j),(3536.9611488939704+1444.831462015413j),(4145.160081936006+1572.5915366582403j),(4849.528704803717+1630.3857949671506j),(5532.540819741058+1759.7313878571395j),(6324.211477306782+1766.695450053056j)
3614815.684,(559.7387981901087+311.63881129583126j),(777.1174900941602+423.1904361544444j),(1026.0695317854847+549.7893827790778j),(1324.8931003307805+688.5220416127927j),(1658.099043084762+840.5513158219342j),(2060.2553494934373+989.1881061641319j),(2471.6772024084703+1163.7554729790297j),(2983.8223736542313+1308.5686711630667j),(3549.823750197989+1442.664120060729j),(4160.619107287977+1568.5924207125909j),(4868.037323701863+1623.0457129319047j),(5553.742882482056+1750.0428045006083j),(6348.412554657909+1752.3212737285876j)
3642396.231,(561.3305271691737+312.1460493912033j),(779.3841318849531+423.8128111642563j),(1029.1149534186422+550.5316824234635j),(1328.9599494491576+689.2835007941284j),(1663.315470383084+841.3028408822421j),(2067.059396641683+989.5682146941434j),(2479.958351505001+1163.9736014524688j),(2994.2957580009843+1307.7837150672203j),(3562.7470358888527+1440.4126777017264j),(4176.147892305726+1564.4708247590054j),(4886.617242002623+1615.5189351597564j),(5575.017778769435+1740.1203354886843j),(6372.667891405949+1737.6289855799073j)
3670187.214,(562.9271503509835+312.6527557750413j),(781.6583713024701+424.43342070256574j),(1032.1711353234598+551.2706237544407j),(1333.0425113098324+690.0379112014782j),(1668.5532006240023+842.0426818429661j),(2073.8937662102103+989.9255283893524j),(2488.2771213775336+1164.1607741350495j),(3004.818717969953+1306.9448172189448j),(3575.73114189564+1438.0756792171496j),(4191.746342709474+1560.2246524811944j),(4905.267672403497+1607.802367397174j),(5596.36418790188+1729.9601850473612j),(6396.974722283225+1722.6137326585078j)
3698190.239,(564.5286919759136+313.1589116126462j),(783.9402508674382+425.05222390713925j),(1035.2381411849983+552.0061376189124j),(1337.1408854019892+690.78514114103j),(1673.8123711678613+842.7706277822305j),(2080.758646874195+990.2596465916515j),(2496.6337372317935+1164.3164494734392j),(3015.3914807890774+1306.0510391983307j),(3588.7761929671933+1435.6516454702025j),(4207.414340804065+1555.8517755036887j),(4923.987776043513+1599.8928744135735j),(5617.780716675614+1719.5585117648195j),(6421.330161570898+1707.2706213150414j)
3726406.922,(566.1351764346899+313.6644978119458j),(786.2298133854213+425.66917933284554j),(1038.3160351129254+552.738153852833j),(1341.2551718152588+691.5250569095926j),(1679.0931200623863+843.4864644764824j),(2087.6542274651274+990.5701621421352j),(2505.0284239401026+1164.4400770733287j),(3026.0142697601414+1305.1014271571132j),(3601.882302171075+1433.1390736105564j),(4223.151744619378+1551.3500330349073j),(4942.776660808338+1591.787279942676j),(5639.26589699515+1708.9114290063435j),(6445.7311995148+1691.594719029636j)
3754838.895,(567.746628269553+314.1694950199734j),(788.5271019495912+426.2842449424577j),(1041.4048816453621+553.466601264469j),(1345.3854712417597+692.257522760143j),(1684.3955860370193+844.1899743443267j),(2094.5806969283117+990.8566612705686j),(2513.461405970489+1164.531097549314j),(3036.6873040131545+1304.0950116004383j),(3615.0495704004097+1430.5364367517786j),(4238.958386972073+1546.717231575775j),(4961.6333795416695+1583.4823667270052j),(5660.818183561572+1698.0150051956216j),(6470.174699074843+1675.5810556958509j)
3783487.8,(569.3630721752077+314.67388361947343j),(790.8321599417488+426.89737809843916j),(1044.5047457484634+554.1914076202634j),(1349.5318849737555+692.9824008697221j),(1689.7199084859612+844.8809363973317j),(2101.538244275968+991.1187234851648j),(2521.932907291543+1164.5889423905423j),(3047.4107982664023+1303.030807154214j),(3628.2780858408673+1427.8421836738494j),(4254.834074491054+1541.9511446489782j),(4980.556928247775+1574.9748765477225j),(5682.435951413265+1686.8652642959396j),(6494.657392303383+1659.2246255828672j)
