f,N=4,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16
61570169.095827475,(1556.2832063611695-66.35843549595671j),(1980.8690954502435-522.088100085966j),(2111.462647914719-1173.6993195847122j),(1873.698004590233-1743.3777542411185j),(1459.7981890864785-2041.3350783955311j),(1068.811074969969-2106.3592241087j),(769.8927114848451-2047.1280448478383j),(557.9646857849652-1938.7909809723913j),(410.4319463939838-1818.2754430878967j),(307.173181306908-1701.0176830244368j),(233.84701511122867-1592.5473905337253j),(180.86695970552927-1494.1980972982135j),(141.91246553420123-1405.644026254855j)
62039941.02916038,(1558.0499106773514-72.39152594656093j),(1978.0248031288536-532.8895788034837j),(2099.253774354172-1184.8016067397675j),(1854.1616568265326-1747.4065099263703j),(1439.594880758361-2036.5711424193607j),(1051.9098370604454-2095.8306315752093j),(756.9408968484288-2033.9747204326568j),(548.3040713854251-1924.8751613685927j),(403.22823690828767-1804.4927784768065j),(301.74466158548694-1687.7454808519599j),(229.69746540300503-1579.9157561597358j),(177.64730612260718-1482.2258631815691j),(139.37819259788796-1394.3028848762683j)
62513297.25781982,(1559.7628844697574-78.47664365570259j),(1975.0233250056522-543.7019199798223j),(2086.8656371267443-1195.7353247093408j),(1834.6232137315978-1751.1475541367327j),(1419.5643892285764-2031.5926414564979j),(1035.2331637843004-2085.217680694229j),(744.1920624025202-2020.830121373981j),(538.8059059633617-1911.017825923699j),(396.1494134267682-1790.7910920906113j),(296.4114128038286-1674.5623618689076j),(225.62100674040093-1567.374254011987j),(174.4843419957723-1470.3415303566287j),(136.88844406477202-1383.0460122783402j)
62990265.12948692,(1561.4209858697527-84.61357509980225j),(1971.863541021574-554.5223542092644j),(2074.3018202496423-1206.4965942465665j),(1815.0888298380457-1754.6024875310068j),(1399.7090806331455-2026.4048911202442j),(1018.7798054269339-2074.524843188453j),(731.6436795151792-2007.6967330512207j),(529.467669014798-1897.219979278368j),(389.19336015969634-1777.1705314850224j),(291.1717580830101-1661.4680257715981j),(221.616331982394-1554.9223652743772j),(171.3770482028792-1458.5444832333599j),(134.44241956133504-1371.872759254848j)
63470872.20050173,(1563.0230637808804-90.80208387165435j),(1968.5443911045618-565.3480618306434j),(2061.566022366557-1217.0816364073498j),(1795.5645706120827-1757.7730715416305j),(1380.0311622701138-2021.013196599939j),(1002.5484423514306-2063.7564964424237j),(719.2932203727149-1994.5769584301406j),(520.2868676258461-1883.482575042372j),(382.35799316660064-1763.631217163574j),(286.02404891123535-1648.4621597879361j),(217.68215725163196-1542.5595668572646j),(168.32442416938534-1446.8341063860948j),(132.0393334067207-1360.7824790952814j)
63955146.23745531,(1564.567958258679-97.04191013367029j),(1965.0648773278192-576.1761742865745j),(2048.6620531995895-1227.486776731362j),(1776.0564076468554-1760.6612237608692j),(1360.532685438528-2015.4228480207257j),(986.5376886704046-2052.9169235717472j),(707.1381596134785-1981.4731197390388j),(511.2610367512355-1869.8065172777629j),(375.64126009294836-1750.1732435415531j),(280.96666474482925-1635.544439243714j),(213.81722154707154-1530.2853317061097j),(165.32548753690705-1435.209784711239j),(129.67841434137654-1349.7745276543087j)
64443115.218794264,(1566.054500911923-103.33277007155625j),(1961.424066042311-587.0037755794908j),(2035.5938298180617-1237.7084492718539j),(1756.5702141034626-1763.2690131785553j),(1341.2155483849422-2009.6391159930508j),(970.7460958269913-2042.010313595425j),(695.1759758821653-1968.387460144191j),(502.3877394535538-1856.1926619461283j),(369.0411398991081-1736.7966798870616j),(275.9980126089382-1622.714528106264j),(210.02028636184272-1518.099129100366j),(162.37927383692215-1423.6709035775598j),(127.35890526079012-1338.8482634185507j)
64934807.33643661,(1567.4815153258903-109.6743553494561j),(1957.62108997887-597.8279038250514j),(2022.3653727325418-1247.7432004645352j),(1737.1117604023948-1765.598655285316j),(1322.081499357655-2003.6672473565409j),(955.172156089912-2031.040761711084j),(683.404153307284-1955.3221454222662j),(493.664567111747-1842.6418183309686j),(362.55564257878865-1723.501571231966j),(271.1165267006553-1609.9720795128796j),(206.29013530492966-1506.0004249379786j),(159.4848361702156-1412.216848971981j),(125.080062954005-1328.0030475697918j)
65430250.99740106,(1568.8478175077496-116.06633256726187j),(1953.6551503160308-608.6455529013672j),(2008.980801823744-1257.5876928262371j),(1717.6867101727419-1767.6525070554796j),(1303.1321397479346-1997.5124611138463j),(939.8143059595013-2020.0122696650842j),(671.8201829022801-1942.279265625979j),(485.08913959544714-1829.154750427184j),(356.18280887116407-1710.2879392610303j),(266.3206679940794-1597.3167362822564j),(202.62557372892198-1493.9886820134961j),(156.64124489119166-1400.8470076375738j),(122.8411578466823-1317.2382440438482j)
65929474.82544778,(1570.1522163547688-122.50834272098962j),(1949.5255187077016-619.4536741959323j),(1995.4443321111007-1267.238708476707j),(1698.3006164539229-1769.433061823599j),(1284.3689273152086-1991.1799445566674j),(924.6709294843357-2008.9287462127977j),(660.4215638942956-1929.2608367427997j),(476.65910540848853-1815.7321783004795j),(349.9207099638135-1697.155783171705j),(261.60892384669717-1584.7481314073648j),(199.02542836214468-1482.0633602843454j),(153.847587297562-1389.5607672065278j),(120.64147374904252-1306.553219587328j)
