f,N=4,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16
112931.8597,(130.19731885104812+127.06275115805691j),(177.22452783770035+172.93372864694646j),(231.49693902740236+225.85953348765514j),(293.02081507539054+285.84015524863105j),(361.80418818714355+352.8740081203829j),(437.8570823473858+426.96025684238805j),(521.1917354514019+508.09788469381937j),(611.8228224369+596.2856757014706j),(709.7676794724325+691.5221950118935j),(815.0465292043133+793.8057671309566j),(927.6827075614676+903.1344517610003j),(1047.702892045977+1019.5060170086476j),(1175.137331961561+1142.917909722389j)
113793.5143,(130.80352992064303+127.38131267138462j),(178.049818258328+173.36719752548993j),(232.57516447661874+226.425542815145j),(294.38592361702484+286.5563209523532j),(363.4902464082876+353.757912065662j),(439.89830475076116+428.0294470323096j),(523.6225171527292+509.36986769136064j),(614.6777752045166+597.7779082261445j),(713.081671020963+693.2520746712055j),(818.8547259663532+795.7906222321826j),(932.0206207663805+905.3915301497678j),(1052.6064273423485+1022.0524738631807j),(1180.642841989129+1145.7707942441261j)
114661.7432,(131.4111474030619+127.70023094773458j),(178.87702530479552+173.80115047122928j),(233.65589733908166+226.99218226861365j),(295.7542122209254+287.27328116470375j),(365.18024081242646+354.6427925806296j),(441.9443049867165+429.0998127892608j),(526.0590063740433+510.6432412789078j),(617.5394561321488+599.2717612940075j),(716.4035059575183+694.9838184498869j),(822.67197995256+797.7775971213465j),(936.3689085238042+907.6509942978894j),(1057.5217631906917+1024.6015906962502j),(1186.161694111663+1148.6266188251248j)
115536.5965,(132.0201702090707+128.01950692933275j),(179.70614752085763+174.23558874711847j),(234.73913577006465+227.55945346735183j),(297.12567862742975+287.9910378896521j),(366.8741687541183+355.5286520714015j),(443.9950800464684+430.17135692653005j),(528.5011997505228+511.91800866732575j),(620.4078617177954+600.7672384806395j),(719.7331807157477+696.7174302375392j),(826.4982879375592+799.7666959157958j),(940.7275680059636+909.9128484457043j),(1062.4488977654946+1027.1533717153702j),(1191.6938872847902+1151.4853874681185j)
116418.1249,(132.63059726113516+128.33914156440187j),(180.5371834759688+174.67051362376378j),(235.82487794585364+228.12735804071048j),(298.5003206137861+288.70959314337665j),(368.57202761884093+356.4154929582043j),(446.0506269647366+431.24408227237905j),(530.9490941006675+513.1941730801019j),(623.2829885984715+602.2643433755934j),(723.0706919460802+698.4529139339979j),(830.333646486458+801.7579227545745j),(945.0965962790693+912.1770968474865j),(1067.3878289098154+1029.707821143003j),(1197.2394205988578+1154.3471041695338j)
117306.3792,(133.24242749836117+128.65913580699277j),(181.37013175160402+175.10592637979823j),(236.91312207868455+228.69589762752372j),(299.878136011428+289.42894895308655j),(370.27381485453134+357.3033176742334j),(448.110942857339+432.31799166988674j),(533.4026862650364+514.471737757649j),(626.1648334516411+603.7630795848654j),(726.4160362637471+700.1902734584123j),(834.1780526598538+803.751281776121j),(949.4759908242573+914.4437437566567j),(1072.338555066685+1032.2649431852226j),(1202.7982938912342+1157.2117728915587j)
118201.4107,(133.85565987376805+128.97949061705236j),(182.2049909580326+175.5418283013505j),(238.00386640235268+229.2650738763984j),(301.25912266769114+290.14910735791784j),(371.9795279551237+358.1921286657771j),(450.1760249014701+433.39308797607555j),(535.8619731286526+515.7507059569373j),(629.0533930262472+605.2634507310029j),(729.7692105568715+701.929512737702j),(838.0315035066068+805.7467771344784j),(953.8657492755766+916.7127934302863j),(1077.301074645533+1034.8247420525952j),(1208.370507027344+1160.0793975899776j)
119103.2713,(134.47029335567822+129.3002069603245j),(183.04175972304066+175.97822068219773j),(239.09710918096746+229.8348884453595j),(302.64327847814434+290.870070408318j),(373.6891644572305+359.08192839230776j),(452.24587029963914+434.4693740636511j),(538.3269517193777+517.0310809470185j),(631.9486642571528+606.7654604470904j),(733.1302117264161+703.6706357146128j),(841.8939961206577+807.7444129957037j),(958.2658694212932+918.9842501295332j),(1082.2753861788137+1037.3872219553919j),(1213.9560597714901+1162.949982216143j)
120012.0129,(135.0863269288408+129.62128580820763j),(183.88043669442516+176.41510482376682j),(240.19284870413088+230.40534300209757j),(304.0306013674038+291.5918401660854j),(375.40272193473254+359.9727193266681j),(454.32047635071+435.5468528177556j),(540.7976190855666+518.312866013463j),(634.8506440315414+608.2691123856116j),(736.4990367754006+705.413646345395j),(845.7655280015354+809.7441935246952j),(962.6763490713315+921.2581181250174j),(1087.2614886321373+1039.9523870880498j),(1219.5549523964337+1165.8235306937395j)
120927.688,(135.7037595921297+129.94272813786273j),(184.72102054216205+176.85248203485756j),(241.2910832919663+230.97643922339435j),(305.4210893111283+292.314418703663j),(377.1201980280588+360.86450395360737j),(456.3998403983704+436.6255271381274j),(543.2739723607605+519.5960644560366j),(637.7593294780315+609.7744102071292j),(739.8756828810692+707.1585485953465j),(849.6460965384895+811.746122904199j),(967.0971863828411+923.534401681469j),(1092.2593811554752+1042.5202416387015j),(1225.1671856887356+1168.7000469155842j)
