Frequency,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16,N=17,N=18,N=19,N=20,N=21,N=22,N=23,N=24,N=25,N=26,N=27,N=28,N=29,N=30,N=31,N=32,N=33,N=34,N=35,N=36,N=37,N=38,N=39,N=40,N=41,N=42,N=43,N=44,N=45
107897.2311,582.9654114239332+578.9706261320623j,761.5945936685646+756.0776177420813j,964.1698344152396+956.7817089473053j,1190.759427271069+1181.078436219571j,1441.44861072705+1428.9623153708235j,1716.3414819014897+1700.426656002673j,2015.5629286589779+1995.4633532008022j,2339.26058391294+2314.0626513003144j,2687.6068065263444+2656.212874357194j,3060.800692330934+3021.900117235832j,3459.070121870106+3411.1078904889027j,3882.673846981197+3823.8167114257353j,4331.903625376417+4260.003632853859j,4807.08640574514+4719.641700195112j,5308.586570284908+5202.69932668959j,5836.808240065912+5709.139575427841j,6392.197656142918+6238.91933569277j,6975.245677968535+6791.990955172077j,7586.490210634434+7368.294667285606j,8226.51888468168+7967.761397348245j,8895.971807101709+8590.312493205518j,9595.54436859566+9235.856902245394j,10325.990169115199+9904.289377754667j,11088.124085343388+10595.488450063645j,11882.825420355894+11309.314138424766j,12711.041210456682+12045.605371646565j,13573.789651052193+12804.17708668484j,14472.163646846107+13584.816969614449j,15407.3345136569+14387.281798133416j,16380.555765270748+15211.293346231634j,17393.16709831932+16056.53379585846j,18446.59843991434+16922.64061102373j,19542.374136738064+17809.200810654325j,20682.117222847613+18715.744579947605j,21867.553821536138+19641.738143179267j,23100.51746770316+20586.575839897316j,24382.953598585606+21549.571293244695j,25716.923991897034+22529.947594231984j,27104.611003897244+23526.826417322252j
108720.4722,585.7202061320934+580.4481757108659j,765.1952257892366+758.0060499332963j,968.7309978124977+959.2206714706792j,1196.3968316841706+1184.087360943927j,1448.2792343340338+1432.6003636716307j,1724.4838526243066+1704.7526563779597j,2025.1374347894919+2000.5357304605304j,2350.3898144789+2319.939346496585j,2700.415921732434+2662.951254458048j,3075.4178254807684+3029.556873349363j,3475.6268120789173+3419.738923264352j,3901.3055059986723+3833.477001976661j,4352.750036499869+4270.747097366942j,4830.292257767066+4731.521026039896j,5334.30202860393+5215.765787532231j,5865.189554912506+5723.4428225463j,6423.407805359347+6254.50716237845j,7009.455055779312+6808.909050487653j,7623.877358320191+7386.586284455159j,8267.271258523433+7987.467014197785j,8940.286598567385+8611.469436679787j,9643.629363522425+9258.498913096453j,10378.064667899529+9928.446117780244j,11144.41986063544+10621.184945407036j,11943.58774617351+11336.570149405108j,12776.52992670448+12074.434681460725j,13644.280291917075+12834.58669748528j,14547.948625985675+13616.806194804774j,15488.724368677485+14420.841237803928j,16467.880474121284+15246.40373055109j,17486.777417293913+16093.164683865014j,18546.867349743+16960.748920674065j,19649.698291776927+17848.729168243393j,20796.918513375065+18756.61945736128j,21990.28090029794+19683.86777177975j,23231.647410499372+20629.847857349552j,24522.993555633362+21593.85010570238j,25866.412795433214+22575.071426169077j,27264.120921030142+23572.603987277234j
109549.9945,588.4815488737856+581.9274914703578j,768.8044456250523+759.9367701274425j,973.3030871773439+961.6625037394629j,1202.0478130151857+1187.0997921558649j,1455.1264161298418+1436.2426040042703j,1732.646114719692+1709.0835754707005j,2034.7355433543312+2005.613784936383j,2361.5467670534554+2325.822497997967j,2713.2573230755997+2669.696877167305j,3090.072294648907+3037.22164977954j,3492.226422286082+3428.3787268759947j,3919.9862565698754+3843.1467649787082j,4373.652360148815+4281.500661734023j,4853.561562406313+4743.410975551718j,5360.089274878428+5228.84325829678j,5893.651874148682+5737.757289025362j,6454.709153065961+6270.106195760782j,7043.766910933748+6825.83806572229j,7661.379460709816+7404.88820068544j,8308.152386572821+8007.181906374998j,8984.745407281454+8632.634149785717j,9691.875257375345+9281.14661517633j,10430.318733077982+9952.605793918885j,11200.91583403642+10646.880826068915j,12004.573051044365+11363.821063449872j,12842.266770912447+12103.253324332454j,13715.04679947593+12864.978805632092j,14624.040051051532+13648.769611787715j,15570.45434190892+14454.364861804475j,16555.5823431062+15281.466324474355j,17580.805608044706+16129.733536511283j,18647.59881870429+16998.778335342235j,19757.534029774914+17888.15876087598j,20912.28503078669+18797.372248521056j,22113.63190753961+19725.848025653493j,23363.465413464794+20672.938666490918j,24663.791480128253+21637.910680292785j,26016.735734467336+22619.93403957808j,27424.54775702952+23618.07056936432j
110385.8459,591.2494348068269+583.4085785772478j,772.4222473125366+761.8697848115721j,977.8860958359729+964.1072135730379j,1207.7123641800897+1190.1157389323776j,1461.9901492582917+1439.8890465182576j,1740.828262531746+1713.41942417999j,2044.3572510691276+2010.697527787205j,2372.7314423422918+2331.7121165291937j,2726.1310172665244+2676.4497518365165j,3104.764115582925+3044.894453264658j,3508.86898002515+3437.027303871789j,3938.7161427939054+3852.8259967775716j,4394.610661880039+4292.264313605653j,4876.8944112140325+4755.311524645573j,5385.948435024147+5241.931699382394j,5922.19536571143+5752.0829152191145j,6486.101918851848+6285.716350658626j,7078.181522251723+6842.77788368485j,7698.996867032976+7423.200258987036j,8349.162709363414+8026.905867543063j,9029.348782738478+8653.806365690938j,9740.282725176317+9303.799668084135j,10482.753171915925+9976.767977367945j,11257.612972159654+10672.575556474932j,12065.782493980001+11391.066216485246j,12908.253116880936+12132.060482934661j,13786.090793455282+12895.35241122266j,14700.439812396366+13680.70600442397j,15652.526650320113+14487.851196405518j,16643.663936524437+15316.479351600252j,17675.25463850766+16166.238219455965j,18748.79628024905+17036.726298287955j,19865.885259986775+17927.486539882982j,21028.221297450957+18837.999319522143j,22237.612000241294+19767.67459037614j,23495.977277711463+20715.843164443013j,24805.353956136736+21681.746984837802j,26167.900131886137+22664.528335639792j,27585.899643273624+23663.217824134175j
111228.0747,594.0238591548381+584.8914422330514j,776.0486250780306+763.8051005146391j,982.4800172386261+966.5548088384141j,1213.3904782499644+1193.1352104007974j,1468.870427079806+1443.5397014116083j,1749.0302905283672+1717.7602134470428j,2054.00255486636+2015.7869701968777j,2383.9438414767665+2337.6082128086446j,2739.0370117683397+2683.209887761178j,3119.493304733846+3052.575290420751j,3525.5545142352294+3445.6846565740943j,3957.4952100517103+3862.514693366552j,4415.625007731194+4303.038040131998j,4900.290898863673+4767.222648454115j,5411.879636927635+5255.031070149122j,5950.820200030612+5766.419640063201j,6517.586323570442+6301.3375400537625j,7112.699174752832+6859.728384622773j,7736.729936398277+7441.522298982418j,8390.30267428236+8046.63868717235j,9074.097273800311+8674.985812561798j,9788.852432493952+9326.457725498609j,10535.368806410028+10000.932230682545j,11314.512259130197+10698.268590302223j,12127.217247775363+11418.304931458184j,12974.490358651095+12160.855323664367j,13857.413924750528+12925.706493823229j,14777.149857030869+13712.614129992187j,15734.943525689418+14521.298739317393j,16732.12787591284+15351.440997469988j,17770.12755159859+16202.676551238934j,18850.46321500024+17074.590199306607j,19974.75596252165+17966.709390596716j,21144.731841384888+18878.49696466719j,22362.226306106953+19809.343069453367j,23629.18882782763+20758.55614326834j,24947.68750358432+21725.352873471576j,26319.913341998847+22708.847065739712j,27748.1848563529+23708.037217214667j
112076.7296,596.8048172072924+586.376087673857j,779.6835732427817+765.7427238071323j,987.0848449649197+969.0052974495031j,1219.0821484849791+1196.1582157378994j,1475.7672431735982+1447.1945789299189j,1757.2521936195803+1722.1059542500423j,2063.671452187572+2020.8821233680112j,2395.183966238583+2343.5107975408273j,2751.9753148284053+2689.9772941749825j,3134.259879580374+3060.264167731318j,3542.2830551003162+3454.350787072735j,3976.3235047182434+3872.212850387614j,4436.6954671463145+4313.821827881425j,4923.751120256789+4779.1443213873845j,5437.883010994587+5268.141328887479j,5979.526550586588+5780.767401036861j,6549.162594498271+6316.969674896698j,7147.320155551836+6876.689446317669j,7774.5790364082595+7459.854156858053j,8431.572735404578+8066.380150475522j,9118.99144063771+8696.172213020733j,9837.585067768101+9349.120433664026j,10588.166460238137+10025.098108298542j,11371.614691828921+10723.959370525296j,12188.878505215584+11445.536517747158j,13040.979907014254+12189.636996570349j,13929.017852865934+12956.040013600796j,14854.172117874234+13744.492723768439j,15817.707275255776+14554.705954285324j,16820.97681130405+15386.349411063093j,17865.427375235093+16239.046310438067j,18952.603110078704+17112.367377765127j,20084.1501924838+18005.824130256504j,21261.821249253717+18918.861399506088j,22487.480030215098+19850.848970646904j,23763.105968356478+20801.07228091593j,25090.798785333223+21768.722056909028j,26472.782877681253+22752.88280965684j,27911.411723715824+23752.52002923027j
112931.8597,599.5923043244243+587.8625201700155j,783.327086221355+767.6826613008342j,991.7005727227111+971.4586873667138j,1224.7873683107925+1199.1847641694421j,1482.6805913473409+1450.8536893653218j,1765.4939669440573+1726.4566576052816j,2073.3639408897125+2025.9829985210042j,2406.451818832883+2349.419881418259j,2764.9459354087535+2696.7519802464312j,3149.063858491869+3067.9610915430662j,3559.0546337958262+3463.0256972234806j,3995.2010757913304+3881.9204630793724j,4457.822109989509+4324.615662901342j,4947.275175273638+4791.076516985124j,5463.958691131478+5281.26243276541j,6008.314595042394+5795.126134099726j,6580.830961264722+6332.612664205011j,7182.0447608348295+6893.660943789091j,7812.544535337408+7478.195665608467j,8472.973356565184+8086.130038195843j,9164.031853877066+8717.365284055444j,9886.481329985405+9371.787431762426j,10641.146983751205+10049.265155086572j,11428.921287670859+10749.647328768708j,12250.76748144881+11472.760270710982j,13107.723201924104+12218.404634206945j,14000.904273534921+12986.35190907382j,14931.50859607647+13776.340492513698j,15900.820194332602+14588.071277375915j,16910.213422338427+15421.2027040658j,17961.157230132892+16275.34522500926j,19055.21959029835+17150.055108301993j,20194.072018789844+18044.82751313936j,21379.494202722526+18959.088754789576j,22613.378505868197+19892.1876972068j,23897.73469899607+20843.38613651098j,25234.694592062697+21811.848100449653j,26626.51630345914+22796.62798717864j,28075.58875647004+23796.657330244183j
113793.5143,602.3863159363088+589.3507450259558j,786.9791585303781+769.6249196481491j,996.3271943578308+973.9149865964525j,1230.5061313467634+1202.214864968791j,1489.610465675266+1454.5170430549424j,1773.7556060174627+1730.8123345632912j,2083.08001924366+2031.0896068913514j,2417.7474019878846+2355.335475116941j,2777.9488830082682+2703.5339550798985j,3163.905260517282+3075.6660680665423j,3575.869282633281+3471.7093886386087j,4014.127972390361+3891.6375263301006j,4479.005008662632+4335.419530649818j,4970.863164622078+4803.019208012585j,5490.1068145680765+5294.3943378046715j,6037.184513434497+5809.495773719016j,6612.591658337186+6348.2664149405655j,7216.8732900574005+6910.642749447863j,7850.626813728966+7496.546654513952j,8514.505004202072+8105.888126847382j,9209.219095654667+8738.564736843127j,9935.54192472341+9394.458352009142j,10694.311229747229+10073.4329074532j,11486.433073536402+10775.331885721303j,12312.885390183304+11499.975472996528j,13174.721696395029+12247.157352376542j,14073.074901650078+13016.64109785567j,15009.161293784135+13808.156118994233j,15984.284643921867+14621.393110083574j,16999.84043538475+15455.998948598442j,18057.32024720961+16311.570978939704j,19158.316217022322+17187.65062005515j,20304.52560016629+18083.716221007537j,21497.755386036388+18999.175085587955j,22739.92705256131+19933.35456341324j,24033.081079103707+20885.49215237461j,25379.381696366472+21854.72444186633j,26781.12121598987+22840.07485816543j,28240.724410167793+23840.440014052394j
114661.7432,605.1868475421575+590.8407675799879j,790.6397847814044+771.5695055421922j,1000.9647038425119+976.3742031905158j,1236.2384313737305+1205.2485274571995j,1496.5568604521172+1458.1846503801917j,1782.0371066192838+1735.1729962099412j,2092.8196859074847+2036.2019597294652j,2429.07071913637+2361.2575892878253j,2790.9841677284453+2710.323227711151j,3178.784105797569+3083.379103361225j,3592.7270348480747+3480.401862685211j,4033.1042459990504+3901.364034610164j,4500.244236669831+4346.233416026731j,4994.515189870692+4814.972366455748j,5516.327519509635+5307.536998942073j,6066.136490549905+5823.876252760245j,6644.444923705522+6363.93083202355j,7251.806045653053+6927.634733083285j,7888.826252057624+7514.906949598173j,8556.168162022901+8125.65418793899j,9254.553752222733+8759.7702770207j,9984.767570023221+9417.132819229368j,10747.660067723467+10097.600892418344j,11544.151090136365+10801.01245073172j,12375.233487136535+11527.181391450926j,13241.97686310771+12275.894249402438j,14145.531474941348+13046.906476029832j,15087.132249534789+13839.938258811293j,16068.102975509317+14654.669825133882j,17089.860594303715+15490.736179137048j,18153.91963069643+16347.721205184236j,19261.896665409462+17225.151077476j,20415.515083171733+18122.486873213777j,21616.60961584048+19039.11635401378j,22867.13108936504+19974.344778511822j,24169.15120700254+20927.3846547121j,25524.86698859065+21897.344369231316j,26936.60537289026+22883.21549871025j,28406.827329606556+23883.858753989873j
115536.5965,607.9938947162616+592.3325932040125j,794.3089596902151+773.5164257160686j,1005.6130952974422+978.8363452455797j,1241.9842623762204+1208.2857610017777j,1503.5197702281991+1461.856521765525j,1790.33846491554+1739.5386536620117j,2102.582939965872+2041.3200682969448j,2440.4217740881095+2367.1862345638347j,2804.0518008069266+2717.1198070876344j,3193.7004153582893+3091.10020333329j,3609.627925415979+3489.1031204543115j,4052.129949056167+3911.099982000427j,4521.53987089278+4357.05730328286j,5018.231358026409+4826.935963345932j,5542.620948832271+5320.690369877551j,6095.170713940338+5838.267502526673j,6676.391000995862+6379.605818207156j,7286.843340743255+6944.636761470869j,7927.1432426622605+7533.276373034778j,8597.963309368533+8145.427988946681j,9300.03642094868+8780.981604244647j,10034.158991507098+9439.81045100591j,10801.194375951474+10121.768627918416j,11602.076399421112+10826.688421083889j,12437.813034377376+11554.377279159886j,13309.49020304224+12304.614405140788j,14218.275753007922+13077.14691783144j,15165.423527488503+13871.685540722632j,16152.277622365695+14687.899757787094j,17180.27670964932+15525.4123870624j,18250.958574021606+16383.793493282234j,19365.96465398649+17262.553586145114j,20527.04474463443+18161.136008891983j,21736.061678100505+19078.90844746839j,22994.996147444923+20015.153442183524j,24305.951285257914+20969.057841866765j,25671.157470657417+21939.701017927317j,27092.976541669555+22926.04182110846j,28573.906252657373+23926.90401335649j
