Frequency,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16,N=17,N=18,N=19,N=20,N=21,N=22,N=23,N=24,N=25,N=26,N=27,N=28,N=29,N=30,N=31,N=32,N=33,N=34,N=35,N=36,N=37,N=38,N=39,N=40,N=41,N=42,N=43,N=44,N=45
107897.2311,582.9654984737941+578.9834233842726j,761.5947736529156+756.1026917095526j,964.1701782698439+956.8270512341463j,1190.7600461700667+1181.1554262670124j,1441.4496742305064+1429.086569952598j,1716.3432430772307+1700.6189776115232j,2015.565758379095+1995.7507793176678j,2339.2650170580637+2314.4796069495433j,2687.6136033625667+2656.80243080202j,3060.8109188631115+3022.7153601563873j,3459.0852537542996+3412.2134015093934j,3882.695902484254+3825.290167412351j,4331.935333497611+4261.937528003331j,4807.131416046535+4722.145196564914j,5308.649714177018+5205.9002394434265j,5836.895851254754+5713.186499795887j,6392.317962136594+6243.983923310889j,6975.409272149671+6798.27035061847j,7586.710626816295+7376.014106195035j,8226.813281775485+7977.176983711791j,8896.361782750215+8601.714165441914j,9596.05692687177+9249.571596728656j,10326.65886173131+9920.684402757492j,11088.990350626013+10614.975082721816j,11883.940158204103+11332.351457264978j,12712.466616338805+12072.704338425636j,13575.60135030016+12835.904890936134j,14474.453178900343+13621.8016489598j,15410.212198209214+14430.217148439853j,16384.1540225336+15260.944133012024j,17397.644271426594+16113.741279230077j,18452.143195463676+16988.32839334196j,19549.210510665638+17884.381015085637j,20690.51040072204+18801.524364144192j,21877.816773145263+19739.326546137676j,23113.01851175796+20697.290958835354j,24398.12502100303+21674.84777894076j,25735.27188707848+22671.3444398456j,27126.72645097909+23686.035011816002j
108720.4722,585.7203226096443+580.4611646089304j,765.195463665432+758.0314994214557j,968.7314468214073+959.2666929012137j,1196.3976300537906+1184.165504336816j,1448.2805892109725+1432.72648001259j,1724.4860678771506+1704.9478603328562j,2025.1409485000775+2000.8274655421337j,2350.395248824443+2320.3625551428277j,2700.424148682354+2663.549655939312j,3075.4300524007867+3030.3843529203264j,3475.644691482626+3420.861036518527j,3901.3312757410495+3834.972598915956j,4352.786695893541+4272.710071326666j,4830.3437878136165+4734.062193222655j,5334.3736643795+5219.014903587895j,5865.288119582465+5727.5507433276925j,6423.542117459836+6259.648156699803j,7009.6364206338385+6815.283275905439j,7624.1201632925495+7394.422427547912j,8267.593684513702+7997.025113175458j,8940.711461948262+8623.043896247002j,9644.185120396776+9272.421720188086j,10378.78659356858+9945.090271633004j,11145.351438760408+10640.968114370206j,11944.782295843504+11359.958567675145j,12778.05249734041+12101.947299411568j,13646.209878249629+12866.799598577265j,14550.380728008593+13654.357293548157j,15491.773962556308+14464.43527114433j,16471.68544115185+15296.81755548045j,17491.502492813215+16151.252892642377j,18552.708678133273+17027.449781963493j,19656.88864184666+17925.07090268984j,20805.733251933678+18843.726851021915j,22001.044859894813+19782.96912245757j,23244.742681864158+20742.282255034886j,24538.86844402468+21721.075021219367j,25885.591965170846+22718.67059614238j,27287.216943820815+23734.29555445636j
109549.9945,588.481695539599+581.9406746939796j,768.804742888836+759.9626003876018j,973.303644062412+961.7092138125332j,1202.0487954992211+1187.179105029436j,1455.1280699095419+1436.3706081587527j,1732.6487958196085+1709.2817021240046j,2034.7397587773216+2005.9098893361406j,2361.553228545631+2326.252047272187j,2713.2670172766793+2670.3042477199783j,3090.0865738114544+3038.0615377236136j,3492.247120557486+3429.5176755411267j,3920.015836979802+3844.664814125412j,4373.694099845568+4283.493123697948j,4853.619782464687+4745.990344231526j,5360.169624293802+5232.1412575402765j,5893.761678578152+5741.927067673935j,6454.8578386031095+6275.324677372146j,7043.966513151357+6832.308464258565j,7661.645243830746+7412.842703536123j,8308.503581045714+8016.884543009772j,8985.20608194668+8644.383856139864j,9692.47535974609+9295.280502453032j,10431.095308791526+9969.5026356469j,11201.914469229027+10666.964775582699j,12005.849547856142+11387.565616049975j,12843.889116374468+12131.185536595607j,13717.097449563711+12897.683786396083j,14626.61858143495+13686.895298206102j,15573.680513028206+14498.627093831614j,16559.599650295364+15332.654229257425j,17585.785370600894+16188.7152341232j,18653.74486833081+17066.506976320183j,19765.088120790875+17965.6788982146j,20921.533014354754+18885.82655086505j,22124.910811104946+19826.48432687519j,23377.171533600558+20787.117342594494j,24680.389595754248+21767.112340302287j,26036.769616050704+22765.767500957067j,27448.65213305768+23782.28107754966j
110385.8459,591.249612434972+583.4219588413987j,772.4226054863502+761.8960011641562j,977.8867633647972+964.1546219125399j,1207.713535497855+1190.196237634466j,1461.9921096223418+1440.0189648836795j,1740.83142141836+1713.6205144166406j,2044.3621862311745+2010.9980626550182j,2372.73895739246+2332.1480952196916j,2726.1422164638807+2677.066217136073j,3104.780499947839+3045.7469235747285j,3508.892569901099+3438.18332421358j,3938.749632429196+3854.366813510579j,4394.657613165104+4294.286678208835j,4876.959494363569+4757.929632578501j,5386.037724381329+5245.2792707574445j,5922.316702708356+5756.315424670323j,6486.265352379442+6291.013414607691j,7078.399838341775+6849.345816477521j,7699.2862300792+7431.274799387713j,8349.54342787835+8036.7550941021j,9029.846211387834+8665.73381145834j,9740.928342880903+9318.147643274744j,10483.585846042102+9993.921114102035j,11258.680444999587+10692.96458836309j,12067.143124126334+11415.172006431309j,12909.977906660144+12160.418313298607j,13788.26575698022+12928.556549313646j,14703.168713764382+13719.414558054668j,15655.934173311703+14532.791272145494j,16647.89935072547+15368.45252741531j,17680.496027543464+16226.126342658155j,18755.255396360575+17105.49761804632j,19873.81309728114+18006.20217939793j,21037.91448677453+18927.82008892215j,22249.42013390775+19869.868136657737j,23510.31126339714+20831.79144962843j,24822.6955308419+21812.954075560225j,26188.812764078328+22812.62846384873j,27611.04086224047+23829.98369305976j
111228.0747,594.0240685347372+584.9050222883857j,776.0490457144676+763.8317083500262j,982.4807982283818+966.6029251948924j,1213.3918432162752+1193.2169114942599j,1468.8727018408704+1443.671560733117j,1749.0339394147568+1717.9643086898818j,2054.008228148333+2016.091997488621j,2383.952437007281+2338.050710875035j,2739.0497544313193+2683.8355751429767j,3119.511848192565+3053.4405193915127j,3525.5810698319983+3446.8579879864j,3957.5327091746176+3864.0785972493113j,4415.677304728661+4305.0907275075915j,4900.3630217803575+4769.880040543776j,5411.978096745199+5258.428911782647j,5950.95336753803+5770.715764918466j,6517.764887234991+6306.714296023947j,7112.936690477306+6866.395231055798j,7737.04349393145+7449.718577224065j,8390.713687131054+8056.636583552912j,9074.63241856069+8687.09352395753j,9789.544760539124+9341.022836899965j,10536.259054958304+10018.345318487853j,11315.650388141627+10718.967064678267j,12128.664240292668+11442.777131229606j,12976.32031895952+12189.64487781793j,13859.716524431118+12959.416963018357j,14780.03316340382+13751.913942754765j,15738.537283005906+14566.92643482525j,16736.587295059457+15404.210787487478j,17775.637673842917+16263.484211567087j,18857.243931377605+17144.41929880415j,19983.067779171506+18046.63786240945j,21154.88249296613+18969.704019947454j,22374.57830838258+19913.11645019151j,23644.168116804434+20876.299700430915j,24965.79329853558+21858.59444934699j,26341.729372410155+22859.246648412525j,27774.392139764026+23877.395321066106j
112076.7296,596.8050591415565+586.3898703071934j,779.6840579203645+765.7697285865756j,987.0857422839238+969.0541317016879j,1219.08371199964+1196.241136003504j,1475.7698402908018+1447.3284063045662j,1757.2563448946203+1722.3130964681955j,2063.677882278563+2021.1917058565414j,2395.1936696431226+2343.959906129783j,2751.9896401730425+2690.612332654929j,3134.2806369876844+3061.1423339885027j,3542.312651887224+3455.541672118396j,3976.3651156929045+3873.8001652136236j,4436.753246374918+4315.905263742319j,4923.830463274981+4781.841549772562j,5437.990876268801+5271.590148202228j,5979.671852577285+5785.12803769211j,6549.356677922782+6322.427247405497j,7147.577366863972+6883.456604226714j,7774.917414101961+7468.173896093365j,8432.014828659447+8076.528824533543j,9119.565283127884+8708.462750301933j,9838.32532679622+9363.905770677564j,10589.11579373117+10042.774852484197j,11372.825336550633+10744.971706414102j,12190.414140336687+11470.380369776707j,13042.917825128425+12218.864462954542j,13931.451480333319+12990.264085369185j,14857.213951465035+13784.392301625323j,15821.4922612831+14601.031178274125j,16825.66626659671+15439.927312366628j,17871.213501476384+16300.786796684246j,18959.714171170537+17183.26956040743j,20092.856481291437+18086.9829953833j,21272.44191043903+19011.474824016157j,22500.390883379045+19956.225075201477j,23778.748432503347+20920.637108021227j,25109.690067348987+21904.027548791757j,26495.52757875805+22905.615050085697j,27938.715039669463+23924.507699754802j
112931.8597,599.5925796307533+587.8765082047673j,783.3276365497164+767.7100685572996j,991.7015892944285+971.5082495231204j,1224.7891353645578+1199.268920608504j,1482.6835189237704+1450.9895122465887j,1765.4986332633637+1726.6668893194385j,2073.371146861162+2026.2971998052135j,2406.4626580272943+2349.8756928777184j,2764.9618833554114+2697.396500543258j,3149.0868858086583+3068.8523760703283j,3559.0873486815954+3464.2343816733437j,3995.24690264495+3883.5315169375185j,4457.885510381721+4326.730278612605j,4947.361921775806+4793.814141152468j,5464.076201737098+5284.762946589242j,6008.4723413555475+5799.552190905669j,6581.040961620065+6338.152192795964j,7182.322173264398+6900.529829729542j,7812.908371940186+7486.640612077899j,8473.44733350016+8096.431626058152j,9164.645396837626+8729.841241903567j,9887.270766065903+9386.796125452918j,10642.156941592293+10067.209311179584j,11430.206346244408+10770.978005037337j,12252.394088747515+11497.981088444776j,13109.771925057723+12248.076285239633j,14003.47240372928+13021.096952959817j,14934.713172974118+13816.848456742751j,15904.801520229903+14635.104072515014j,16915.139089501048+15475.600368800475j,17967.22680019615+16338.032005414214j,19062.669941455744+17222.04588399048j,20203.183507313428+18127.234569073873j,21390.597727748474+19053.12889841951j,22626.863574651863+19999.18971470207j,23914.058659172795+20964.7985692566j,25254.393158379913+21949.24731756019j,26650.215567069023+22951.72651030082j,28104.01881519703+23971.31236380963j
113793.5143,602.3866254463472+589.3649413226179j,786.9797761453801+769.6527349872943j,996.328333157159+973.9652867970533j,1230.508107012883+1202.3002748061872j,1489.613731960811+1454.6548892572055j,1773.7608002244265+1731.0256988543974j,2083.0880204737473+2031.4084914082564j,2417.759405413772+2355.798083011169j,2777.966494197657+2704.1880896367993j,3163.9306146218087+3076.5706542401117j,3575.9051940494173+3472.9361215101017j,4014.1781212336314+3893.2726516496555j,4479.074172200464+4337.565763283848j,4970.957501826625+4805.797794868918j,5490.234214701451+5297.947272510518j,6037.3550198367475+5813.988171134748j,6612.817981323235+6353.889054343851j,7217.171419102047+6917.614798927594j,7851.016761398436+7505.118577842131j,8515.011683636969+8116.34479335341j,9209.873362360659+8751.228744852891j,9936.381808800685+9409.693575693625j,10695.383385817047+10091.64828156801j,11487.794483448863+10796.985441855595j,12314.605348410783+11525.578641837987j,13176.884133663378+12277.27954546607j,14075.781078941785+13051.914583788854j,15012.532928540384+13849.281207337699j,15988.467531670207+14669.143655451466j,17005.008629939457+15511.228186541775j,18063.680871710938+16375.217703424785j,19166.115015195883+17260.74570658587j,20314.05328054342+18167.38950200626j,21509.354933859257+19094.662568420164j,22754.002059742925+20042.00598937501j,24050.105294273373+21008.778870082955j,25399.90989527677+21994.24757334227j,26805.80160671705+22997.573707772972j,28270.312738771514+24017.800664597868j
114661.7432,605.1871921040974+590.8551750365523j,790.6404713508102+771.597734643193j,1000.9659678993746+976.4252517083589j,1236.2406208285088+1205.3352081437347j,1496.5604738525076+1458.3245480831183j,1782.0428418433999+1735.3895367240968j,2092.8285021627516+2036.525592763005j,2429.083915725872+2361.7270884139693j,2791.0034835899096+2710.9871107160643j,3178.8118447461648+3084.297176974108j,3592.766222549545+3481.646896289954j,4033.1588249765773+3903.0235682176994j,4500.319307674011+4348.411708457994j,4994.617308419454+4817.792490435896j,5516.465058239439+5311.143090553877j,6066.320079426386+5828.435923488045j,6644.687981870949+6369.637752420975j,7252.125417557427+6934.711400778862j,7889.2429755855155+7523.607643129714j,8556.70837938906+8136.268126990848j,9255.249786144304+8772.625000183392j,9985.65919999982+9432.59778894217j,10748.796029440571+10116.091341989395j,11545.590831978156+10822.99348743069j,12377.049227792526+11553.172369570759j,13244.255990236114+12306.473427775287j,14148.379326521397+13082.715974746585j,15090.675346856493+13881.689327770539j,16072.492769741988+14703.148436997091j,17095.2777756911+15546.808959472553j,18160.57910530833+16412.341706582323j,19270.053283195994+17299.36640325455j,20425.470208587758+18207.444653630177j,21628.71866856525+19136.072068194488j,22881.812160316953+20084.669413614225j,24186.894909217473+21052.57268012224j,25546.24772372416+22039.021988658045j,26962.29411462303+23043.14914519972j,28437.60622644729+24063.96374656854j
115536.5965,607.9942751922831+592.3472147564995j,794.3097169111543+773.5450743325856j,1005.6144876935206+978.8881524885277j,1241.986670881453+1208.373730217464j,1503.5237392836348+1461.9984995192349j,1790.3447544818114+1739.7584146198258j,2102.5925913761635+2041.6485159894364j,2440.4361933351365+2367.6627209658354j,2804.072863511293+2717.793574496935j,3193.73059829884+3092.0319526281983j,3609.67047076642+3490.3667104323777j,4052.189068366737+3912.784265175906j,4521.62099657226+4359.268104246834j,5018.341452241248+4829.798206504609j,5542.768879910023+5324.350364204614j,6095.367713676695+5842.895391693643j,6676.6512158459045+6385.398205354319j,7287.184492143686+6951.819521500085j,7927.587420584119+7542.107654106932j,8598.537916890185+8156.201423876174j,9300.775287977704+8794.029743313207j,10035.103693392195+9455.508426002656j,10802.395782605085+10140.538062495456j,11603.596497101818+10849.001601080723j,12439.727041743237+11580.76159845437j,13311.889056833661+12335.657099441989j,14221.268985099385+13113.500102531083j,15169.142597421494+13914.071565968985j,16156.879789391693+14737.116891712954j,17185.94948379095+15582.34084047482j,18257.924868300157+16449.40179079909j,19374.488686846922+17337.905292321724j,20537.438838089045+18247.39680582849j,21748.694039835224+19177.35356066171j,23010.299784445422+20127.17539990951j,24324.434179661406+21096.17454584535j,25693.41420318763+22083.56408835436j,27119.701542747676+23088.445162633674j,28605.908855283145+24109.792538831854j
