Frequency,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16,N=17,N=18,N=19,N=20,N=21,N=22,N=23,N=24,N=25,N=26,N=27
107897.2311,246.05394455970938+244.15485127094897j,354.345700128331+351.4698956126463j,482.35697680666374+478.2788105714451j,630.109386321576+624.5790038687301j,797.6316056140715+790.3678023848261j,984.9603826774533+975.6422669552855j,1192.1415521564438+1180.4036052079327j,1419.231040332583+1404.6451956366793j,1666.29589020374+1648.3604003140833j,1933.4152946569661+1911.5438312184267j,2220.681633240073+2194.189138851531j,2528.201521560943+2496.288878159915j,2856.096873415883+2817.834361231528j,3204.5059767770467+3158.8154934013405j,3573.5845855063835+3519.220589249109j,3963.5070303356347+3899.036164883668j,4374.467348824675+4298.246702849432j,4806.68043798102+4716.8343858157705j,5260.383233156572+5154.778794977868j,5735.835911076689+5612.056568982374j,6233.323123468325+6088.641018724089j,6753.155267395275+6584.50169298712j,7295.669779320517+7099.603889947725j
108720.4722,247.2158087282583+244.77665244374097j,356.0192008137252+352.36435364845806j,484.6355861306718+479.495283312682j,633.0868974589256+626.1667721924921j,801.4022377845176+792.3760506059676j,989.6189011499323+978.1200589245727j,1197.783403462055+1183.3998911246053j,1425.9525024365676+1408.2087242461967j,1674.1942381795493+1652.5396874203902j,1942.5889818101243+1916.387134351086j,2231.2304881574546+2199.7444112449502j,2540.226960860669+2502.6037176128284j,2869.7021308073076+2824.9559533892843j,3219.7963487361803+3166.7905489197815j,3590.667693825269+3528.0952742218005j,3982.493101666703+3908.8560238088644j,4395.469512370358+4309.056573307666j,4829.81504216608+4728.678303911431j,5285.770178054547+5167.699890568369j,5763.599002489443+5626.096949413988j,6263.59044959971+6103.841639720584j,6786.059587348878+6600.902215483817j,7331.348943077019+7117.242520795178j
109549.9945,248.3804200774563+245.39918763655643j,357.6966632146532+353.259860237295j,486.91959873754706+480.7131732666205j,636.0714849256187+627.7563789060902j,805.1818567305695+794.3866088111607j,994.2885618206533+980.600680211458j,1203.4388068226378+1186.3995703545445j,1432.6901924461922+1411.7762505665473j,1682.1117697280743+1656.72361195748j,1951.7851045469051+1921.235744032786j,2241.8053458949817+2205.305681705625j,2552.282307749067+2508.925260841978j,2883.34156333762+2832.0849596723456j,3235.1255549679427+3174.77372250345j,3607.7947195859024+3536.9787620697566j,4001.528634658437+3918.6853366926885j,4416.52718328349+4319.876498420805j,4853.011744854594+4740.532808006388j,5311.226408855828+5180.632012552976j,5791.439220191944+5640.148681154075j,6293.943451980718+6119.053793813171j,6819.058913412328+6617.3142782642135j,7367.1332946165885+7134.892489057392j
110385.8459,249.54777633350528+246.02245899954815j,359.3780841330082+354.15641839187504j,489.2090104153907+481.9324844212411j,639.0631434740176+629.347829057824j,808.9704562141956+796.3994831579422j,998.9693576013259+983.0841380848669j,1209.1077545698608+1189.4026512237062j,1439.4441025325189+1415.347783851906j,1690.0484775082016+1660.9121838897038j,1961.0036566186673+1926.0896706173148j,2252.4062026871393+2210.872960521895j,2564.3675621416814+2515.253517472831j,2897.015176464132+2839.221388265657j,3250.493608587766+3182.7650199157533j,3624.9656864230583+3545.871054907976j,4020.6136652505675+3928.5241005331404j,4437.640413731768+4330.706468245052j,4876.270619270191+4752.397879021539j,5336.75202499029+5193.5751300993725j,5819.356693688456+5654.211718561165j,6324.38229880478+6134.277416844074j,6852.153457185081+6633.737794421575j,7403.023093517137+7152.553680161337j
111228.0747,250.71787524742552+246.64646869799822j,361.0634604064003+355.05403114592576j,491.50381700415164+483.15322079170505j,642.0618679214949+630.941127729581j,812.7680300767815+798.4146798432974j,1003.6612815366835+985.5704398574624j,1214.7902392150456+1192.4091421037008j,1446.214225107492+1418.923333401328j,1698.0043544374334+1665.1054132211639j,1970.2446324051848+1930.9489244819351j,2263.033055181534+2216.44625799032j,2576.4827245040765+2521.5884971077385j,2910.7229762001966+2846.3652472885406j,3265.9005230880025+3190.764446799296j,3642.180617475038+3554.772154671669j,4039.7482305363365+3938.3723120085165j,4458.809256597615+4341.546472398108j,4899.591739285881+4764.273497270078j,5362.347127086299+5206.529211537014j,5847.351554118787+5668.286014882992j,6354.90715913139+6149.512443232743j,6885.343433737386+6650.172675149221j,7439.018611530157+7170.225976871822j
112076.7296,251.890714595705+247.27121891233693j,362.75278891042706+355.952701553987j,493.8040143977163+484.37538642028994j,645.067653156565+632.5362800364802j,816.5745722692444+800.4322051029205j,1008.364326763342+988.0595928856028j,1220.4862534054746+1195.419051412318j,1453.0005527686617+1422.502908558705j,1705.9793936493888+1669.3033099961244j,1979.5080264243975+1935.8135160344586j,2273.6859004759986+2222.0255844135495j,2588.6277960629077+2527.9302093200076j,2924.464968931998+2853.516544797268j,3281.3463129181873+3198.772008662224j,3659.439537724695+3563.6820630623033j,4058.9323685156996+3948.2299674805827j,4480.0337683910475+4352.39649997794j,4922.97518273178+4776.159642361558j,5388.011816919801+5219.4942243503265j,5875.423937478556+5682.37152214384j,6385.518206919101+6164.758805836369j,6918.6290630361045+6666.618829658219j,7475.120120384571+7187.909259637121j
112931.8597,253.06629218108102+247.89671183800158j,364.4460665584792+356.8524326914151j,496.1095985444431+485.59898537599565j,648.080494144886+634.1332911266132j,820.3900768373733+802.4520652110849j,1013.0784865907029+990.5516045679108j,1226.195789985354+1198.4323876115118j,1459.8030783030679+1426.0865187122777j,1713.973588586301+1673.50588429562j,1988.7938335999324+1940.6834557063085j,2284.364736218783+2227.610950095128j,2600.802778034148+2534.2786636659876j,2938.2411625737004+2860.6752887538414j,3296.830993723459+3206.7877108648045j,3676.7424732689424+3572.6007815550156j,4078.1661190727973+3958.09706295874j,4501.314004614344+4363.256539670313j,4946.421027602937+4788.056293283267j,5413.746200427504+5232.470135074129j,5903.573978855823+5696.468191297797j,6416.215617764659+6180.016436022863j,6952.010564602212+6683.076165341062j,7511.327897534176+7205.60340635483j
113793.5143,254.24460583282877+248.522949685348j,366.1432903055084+357.7532276540411j,498.420565447884+486.8240217546231j,651.100385926689+635.732166180715j,824.2145379203789+804.4742664803481j,1017.8037544352337+993.0464823454888j,1231.918841947555+1201.4491592078648j,1466.6217948033557+1429.6741732908247j,1721.9869330342178+1677.7131462350733j,1998.1020493191227+1945.558753949263j,2295.0695602877145+2233.202365344935j,2613.0076729187012+2540.6338696537327j,2952.051564884459+2867.8414870602205j,3312.3545812339153+3214.8115586437552j,3694.0894511218194+3581.528311395993j,4097.4495228475425+3967.973594121463j,4522.65002591867+4374.126579561575j,4969.929354580719+4799.963428322801j,5439.550385956484+5245.456909315784j,5931.8018221357615+5710.5759718887375j,6446.999571789505+6195.285263547403j,6985.488169801283+6699.544587276981j,7547.642225225234+7223.30829236506j
114661.7432,255.4256534071905+249.14993467960204j,367.84445714377824+358.6550895582506j,500.73691116794976+488.05049967827523j,654.1273236234947+637.332910411794j,828.0479497721005+806.4988152606352j,1022.5401238619444+995.5442337007569j,1237.6554024719503+1204.4693747507663j,1473.4566955021364+1433.2658817662243j,1730.0194209837273+1681.9251059663616j,2007.4326691797794+1950.439421239968j,2305.8003713271096+2238.799840463422j,2625.242483458241+2546.9958367625304j,2965.8961849246084+2875.015147520547j,3327.9170934537283+3222.8435570454376j,3711.480499649209+3590.464653583551j,4116.782623032013+3977.8595562522914j,4544.04189137172+4385.006607328583j,4993.500247251337+4811.881025034487j,5465.424483494335+5258.454511768712j,5960.107608938468+5724.694812394988j,6477.870254441246+6210.565216480681j,7019.062107175+6716.023998751513j,7584.063395830678+7241.023790156069j
115536.5965,256.6094327882141+249.7776690607489j,369.5495641077557+359.55802154073524j,503.0586318217304+489.2784232954028j,657.1613024258777+638.9355290652072j,831.8903067459592+808.5257179392429j,1027.2875885497692+998.0448661578444j,1243.4054649092195+1207.4930428323182j,1480.3077739485047+1436.8616536484371j,1738.07104674875+1686.141773673656j,2016.785689203299+1955.3254680722246j,2316.557168119012+2244.403385755739j,2637.5072128937322+2553.3645744357827j,2979.775032170084+2882.1962778576562j,3343.518547753996+3230.883711005031j,3728.91564792031+3599.409808881628j,4136.165462517745+3987.754944323011j,4565.489663261591+4395.89661008004j,5017.133789023169+4823.809060337757j,5491.368604475332+5271.462906209226j,5988.491487134196+5738.824659911165j,6508.827851085382+6225.8562213951645j,7052.732614986018+6732.514300715035j,7620.591698617312+7258.749769899872j
