Frequency,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16,N=17,N=18,N=19,N=20,N=21,N=22,N=23,N=24,N=25,N=26,N=27
110385.8459,249.54779492813205+246.02376709571644j,359.3781322739337+354.1597140386763j,489.2091176660915+481.93966081501674j,639.0633581414161+629.3618886211127j,808.9708528363228+796.4249046994371j,998.9700464547533+983.1272972329662j,1209.108893475792+1189.472294883046j,1439.4459124074456+1415.4555584975096j,1690.0512618280068+1661.0732191131315j,1961.007825794465+1926.3232188257934j,2252.4123048048386+2211.2030935831194j,2564.3763216407524+2515.7098816354987j,2897.0275420365615+2839.8400187991365j,3250.5108126251243+3183.5892171073488j,3624.989318091502+3546.952323288011j,4020.645759746168+3929.9231534306264j,4437.683561398328+4332.494300007354j,4876.328096255776+4754.656907542382j,5336.827951317231+5196.4004124853345j,5819.456221447078+5657.7122431303305j,6324.511836217776+6138.577474873438j,6852.320933749651+6638.97843538709j,7403.238271588221+7158.894254526432j
111228.0747,250.71789696715143+246.64779631402072j,361.0635164483484+355.0573759682989j,491.50394151565416+483.1605042651299j,642.0621165133987+630.9553970808076j,812.7684882459448+798.4404807286096j,1003.662075272682+985.6142430863846j,1214.7915480732559+1192.4798252047447j,1446.2162992332767+1419.032716842079j,1698.0075357440662+1665.268852727063j,1970.249380824535+1931.1859603771195j,2263.0399817908265+2216.781322365534j,2576.4926325483602+2522.0516801866997j,2910.7369121176316+2846.9931244536488j,3265.919839251197+3191.6009679639574j,3642.207049278756+3555.8695979020986j,4039.783990017614+3939.792303552797j,4458.857146684388+4343.361075499581j,4899.655290534603+4766.566372466065j,5362.430762285063+5209.396851348396j,5847.460784977176+5671.839056115178j,6355.0488185762815+6153.877060451445j,6885.525952372896+6655.492059048825j,7439.252339963778+7176.66190180123j
112076.7296,251.89073951928924+247.27256632021812j,362.75285305285297+355.9560962371079j,493.8041566041691+484.3827784653157j,645.0679365260113+632.5507620987399j,816.5750935356655+800.4583906180494j,1008.3652280225672+988.1040491715881j,1220.487736501058+1195.490788443878j,1453.0028978113478+1422.6139232250587j,1705.9829819280758+1669.469187316488j,1979.5133687151342+1936.0540882743599j,2273.6936723626536+2222.365648930354j,2588.6388816849612+2528.4003065323886j,2924.4805149137574+2854.153797780209j,3281.367794705796+3199.621026083497j,3659.468840504577+3564.795907415501j,4058.9718858484566+3949.671190801233j,4480.086521180794+4354.238249507933j,4923.04496234175+4778.48683887779j,5388.103357295729+5222.404816136235j,5875.543118723728+5685.9778179531395j,6385.672298572119+6169.188890342255j,6918.827008483016+6672.0180654251035j,7475.372875952467+7194.441879558077j
112931.8597,253.06632038868077+247.89807931331444j,364.44613900447314+356.855877929441j,496.109758888869+485.6064875041187j,648.0808131626161+634.1479888612786j,820.3906627768696+802.4786407114075j,1013.0794980656656+990.5967230048635j,1226.1974516709765+1198.505193252709j,1459.805701045172+1426.1991873291215j,1713.9775940535628+1673.6742334016574j,1988.7997846483945+1940.9276135883676j,2284.373374573861+2227.9560844857133j,2600.815070733534+2534.755771483229j,2938.258359005626+2861.322048443778j,3296.8546955190595+3207.649399099471j,3676.7747194677117+3573.7312562813445j,4078.2094890603+3959.5598150515043j,4501.371742942643+4365.1258156696085j,4946.4971934259565+4790.418292024864j,5413.845846282347+5235.424281258889j,5903.703363292129+5700.128489369031j,6416.382457202728+6184.512908008325j,6952.22433055613+6688.5563766220985j,7511.60016509605+7212.2340836764815j
113793.5143,254.24463740607683+248.52433750727567j,366.1433712609917+357.75672415024064j,498.4207443805107+486.8316354971574j,651.1007414773294+635.7470825880038j,824.2151901424614+804.5012373913162j,1017.804878859087+993.0922721466865j,1231.9206866636594+1201.5230483301282j,1466.624702137668+1429.7885188814817j,1721.9913660562925+1677.884001544644j,1998.1086242540214+1945.8065474189323j,2295.079086668419+2233.5526402581604j,2613.0212027869784+2541.1180858147236j,2952.0704529915556+2868.497886066238j,3312.380558539142+3215.6860945448016j,3694.1247141418307+3582.675648778986j,4097.496841865404+3969.458175908011j,4522.712874643453+4376.023767103217j,4970.0120667484225+4802.360716579875j,5439.658341234409+5248.455220311642j,5931.941666785526+5714.291029851474j,6447.179481279624+6199.849055414128j,6985.7181566088075+6705.106912715113j,7547.934500421154+7230.038407611506j
114661.7432,255.42568842939517+249.15134313098034j,367.8445468185247+358.65863802510364j,500.7371091480615+488.0582265865716j,654.1277166082097+637.3480485312131j,828.0486699095395+806.5261870788952j,1022.5413640258208+995.5907041999982j,1237.6574347380588+1204.5443624204254j,1473.4598944578897+1433.381927655591j,1730.0242921129602+1682.0985023488565j,2007.4398834455842+1950.6909008971543j,2305.810807720399+2239.1553274751464j,2625.2572810956453+2547.487260291838j,2965.9168065429885+2875.6813202001845j,3327.9454026902895+3223.7311197973095j,3711.518854544948+3591.6290889599422j,4116.833989295677+3979.366272623836j,4544.109978126848+4386.932096557259j,4993.589669478012+4814.314096524058j,5465.540955791073+5261.497606080976j,5960.258176154543+5728.465397911468j,6478.0635625368795+6215.197273011791j,7019.30872335323+6721.669592119986j,7584.376184234257+7247.854742237609j
115536.5965,256.6094713437021+249.77909842812772j,369.5496627156838+359.5616227000361j,503.05884931483683+489.28626494116463j,657.1617337608549+638.950891976076j,831.8910964636195+808.5534962333354j,1027.2889472850961+998.0920268114016j,1243.407689321453+1207.569144313191j,1480.3112716777628+1436.979423467179j,1738.0763667387077+1686.3177464553567j,2016.7935585059736+1955.5806851810157j,2316.568536906277+2244.764157381221j,2637.523309557284+2553.863305655811j,2979.7974300830165+2882.8723603293874j,3343.5492464637505+3231.7844821473855j,3728.9571710970877+3600.5915806885296j,4136.220976219462+3989.2841041858956j,4565.563117712198+4397.850796303033j,5017.23008771156+4826.27841531601j,5491.493805926969+5274.551410507282j,5988.653043948123+5742.6515508336115j,6509.0348922501635+6230.557499932678j,7052.99627669095+6738.244331143891j,7620.925514214174+7265.682976421317j
116418.1249,257.79598406252876+250.4076056571438j,371.25871603100194+360.4656813413571j,505.3859610661669+490.515754755898j,660.2027882314144+640.5556182397534j,835.7424642888333+810.5831713519533j,1032.0476225547693+1000.5962476678474j,1249.1714440552023+1210.5974028411758j,1487.1788275827937+1440.581016178352j,1746.1475847894858+1690.5417445410174j,2026.169646263503+1960.4759114494575j,2327.35227420021+2250.37914121638j,2649.8192926387364+2560.2462326226096j,2993.7123346672342+2890.0710158715206j,3359.1921101996545+3239.846188723928j,3746.4396955700513+3609.5631276074173j,4155.657850498954+3999.2116691998094j,4587.072359952667+4408.779858126865j,5040.933413457515+4838.253655624547j,5517.517012382005+5287.616604566805j,6017.126423980564+5756.84944481067j,6540.093669986765+6245.9296736035785j,7086.781064294599+6754.831044251432j,7657.582801117114+7283.522996205074j
117306.3792,258.9852245280015+251.03686709108928j,372.97170388665216+361.3708171355765j,507.7184406433594+491.74670025203613j,663.2508753866534+642.16223267182j,839.6027679821593+812.6152189690495j,1036.817383830308+1003.1033744996803j,1254.9486927138717+1213.62914688206j,1494.0625563338356+1444.1867156891728j,1754.2379413415251+1694.7705073212028j,2035.5681436520472+1965.3765909129038j,2338.162019768388+2256.000290232986j,2662.145235436176+2566.636051878906j,3007.6615322644+2897.2772961631863j,3374.874015026751+3247.9162465228687j,3763.966461634824+3618.5437331083895j,4175.144659643811+4009.14896600178j,4608.637772804766+4419.719273345901j,5064.699737007119+4850.239799604082j,5543.610696197656+5300.693158429515j,6045.678475872386+5771.059034735548j,6571.240095892388+6261.313730038037j,7120.663338668256+6771.429643908679j,7694.348361385673+7301.374685058799j
118201.4107,260.1771907113085+251.6668850175482j,374.68862344644214+362.2770332892517j,510.0562843514801+492.97910567655055j,666.3059906850551+643.770740653257j,843.4720022519685+814.6496456561869j,1041.5982252939657+1005.6134150768528j,1260.7394293136992+1216.6643853545395j,1500.9624522407457+1447.7965319434027j,1762.3474317648884+1699.0040455463563j,2044.9890482547132+1970.2827347955188j,2348.997774582698+2261.627615672389j,2674.5011437106523+2573.032774076344j,3021.6450354837298+2904.4912104659784j,3390.5949826684623+3255.9946624081304j,3781.5375027984987+3627.53340040256j,4194.681454971927+4019.0959924915387j,4630.25942640687+4430.669032767724j,5088.529154783491+4862.236828568424j,5569.774983857031+5313.781041223279j,6074.309360357357+5785.280274370078j,6602.474376556395+6276.709603549098j,7154.6433599887905+6788.040040386637j,7731.222512890628+7319.237924065246j
