Frequency,N=5,N=6,N=7,N=8,N=9,N=10,N=11,N=12,N=13,N=14,N=15,N=16,N=17,N=18,N=19,N=20,N=21,N=22,N=23,N=24,N=25,N=26,N=27
5326460.218,889.489+444.49j,1308.96+630.511j,1843.43+811.287j,2454.53+1007.26j,3187.7+1149.92j,4041.1+1193.05j,4951.6+1302.15j,5995.67+1096.35j,7062.59+749.651j,8190.07+596.528j,9305.67-102.817j,10291.9-880.822j,11173.7-1813.66j,11643.8-3300.64j,12504.6-4618.91j,12236.6-5772.26j,12639.2-6768.33j,11020.8-8143.49j,10689.7-8931.27j,10134.8-9612.28j,9032.45-9962.75j,9050.25-10537.4j,9157.99-11125.7j
5367100.378,892.046+444.886j,1312.81+630.874j,1849.12+811.017j,2462.31+1006.1j,3198.07+1146.59j,4054.19+1185.6j,4967.33+1291.04j,6012.75+1076.91j,7078.83+720.318j,8206.39+559.499j,9315.4-152.445j,10292.2-941.407j,11160.8-1883.72j,11607.0-3375.02j,12444.3-4699.83j,12157.0-5843.23j,12544.8-6834.6j,10911.0-8175.47j,10573.4-8948.7j,10015.8-9613.2j,8918.68-9944.27j,8933.96-10511.3j,9038.74-11093.0j
5408050.617,894.612+445.278j,1316.68+631.227j,1854.84+810.721j,2470.12+1004.9j,3208.47+1143.18j,4067.31+1178.0j,4983.06+1279.73j,6029.74+1057.18j,7094.84+690.599j,8222.36+522.025j,9324.51-202.504j,10291.6-1002.32j,11146.8-1953.88j,11569.0-3449.02j,12382.5-4779.81j,12076.3-5912.83j,12449.4-6899.22j,10801.1-8205.67j,10457.4-8964.39j,9897.38-9612.53j,8805.92-9924.56j,8818.82-10484.0j,8920.73-11059.2j
5449313.3,897.186+445.664j,1320.56+631.569j,1860.58+810.4j,2477.96+1003.65j,3218.9+1139.69j,4080.44+1170.26j,4998.79+1268.21j,6046.63+1037.13j,7110.6+660.493j,8237.97+484.108j,9332.99-252.986j,10290.1-1063.54j,11131.6-2024.13j,11529.7-3522.58j,12319.3-4858.82j,11994.5-5981.04j,12353.2-6962.18j,10691.3-8234.07j,10341.7-8978.37j,9779.73-9610.31j,8694.16-9903.64j,8704.83-10455.7j,8803.96-11024.4j
5490890.812,899.768+446.046j,1324.45+631.902j,1866.33+810.054j,2485.83+1002.36j,3229.37+1136.11j,4093.58+1162.36j,5014.51+1256.48j,6063.43+1016.78j,7126.1+629.999j,8253.2+445.751j,9340.83-303.885j,10287.7-1125.05j,11115.3-2094.44j,11489.1-3595.69j,12254.7-4936.81j,11911.6-6047.83j,12256.1-7023.45j,10581.5-8260.71j,10226.5-8990.66j,9662.81-9606.58j,8583.42-9881.56j,8591.99-10426.2j,8688.44-10988.5j
5532785.555,902.359+446.422j,1328.35+632.223j,1872.11+809.682j,2493.72+1001.03j,3239.86+1132.44j,4106.73+1154.31j,5030.23+1244.54j,6080.12+996.115j,7141.34+599.119j,8268.05+406.953j,9348.01-355.191j,10284.4-1186.84j,11097.8-2164.78j,11447.3-3668.32j,12188.8-5013.76j,11827.7-6113.17j,12158.2-7083.02j,10471.8-8285.62j,10111.7-9001.28j,9546.66-9601.35j,8473.71-9858.34j,8480.3-10395.7j,8574.17-10951.7j
5574999.948,904.958+446.793j,1332.27+632.534j,1877.91+809.283j,2501.64+999.641j,3250.38+1128.69j,4119.9+1146.1j,5045.93+1232.38j,6096.7+975.134j,7156.31+567.851j,8282.51+367.718j,9354.52-406.896j,10280.1-1248.89j,11079.2-2235.13j,11404.2-3740.43j,12121.6-5089.64j,11742.9-6177.06j,12059.5-7140.89j,10362.2-8308.81j,9997.38-9010.25j,9431.29-9594.65j,8365.04-9834.01j,8369.77-10364.1j,8461.14-10914.0j
5617536.432,907.565+447.159j,1336.2+632.835j,1883.73+808.857j,2509.59+998.21j,3260.93+1124.84j,4133.08+1137.73j,5061.62+1220.01j,6113.16+953.837j,7170.99+536.196j,8296.56+328.047j,9360.35-458.991j,10274.9-1311.19j,11059.4-2305.47j,11359.8-3812.0j,12053.1-5164.39j,11657.1-6239.47j,11960.1-7197.04j,10252.8-8330.31j,9883.54-9017.61j,9316.73-9586.53j,8257.44-9808.61j,8260.39-10331.6j,8349.37-10875.3j
5660397.464,910.181+447.519j,1340.15+633.124j,1889.57+808.405j,2517.57+996.73j,3271.51+1120.91j,4146.26+1129.2j,5077.3+1207.41j,6129.5+932.221j,7185.38+504.155j,8310.19+287.943j,9365.48-511.466j,10268.8-1373.71j,11038.5-2375.76j,11314.3-3883.0j,11983.3-5237.95j,11570.3-6300.39j,11860.1-7251.47j,10143.6-8350.12j,9770.23-9023.38j,9202.99-9577.01j,8150.92-9782.16j,8152.17-10298.2j,8238.84-10835.8j
5703585.519,912.805+447.874j,1344.11+633.402j,1895.43+807.925j,2525.57+995.201j,3282.12+1116.88j,4159.45+1120.52j,5092.96+1194.6j,6145.72+910.285j,7199.48+471.728j,8323.4+247.41j,9369.9-564.311j,10261.7-1436.44j,11016.3-2445.99j,11267.5-3953.39j,11912.2-5310.34j,11482.8-6359.79j,11759.4-7304.16j,10034.6-8368.28j,9657.47-9027.59j,9090.09-9566.13j,8045.47-9754.7j,8045.12-10263.8j,8129.57-10795.4j
5747103.093,915.437+448.224j,1348.08+633.669j,1901.31+807.416j,2533.6+993.622j,3292.75+1112.76j,4172.65+1111.66j,5108.6+1181.55j,6161.8+888.027j,7213.26+438.916j,8336.16+206.448j,9373.6-617.515j,10253.6-1499.36j,10993.1-2516.13j,11219.5-4023.15j,11840.0-5381.53j,11394.4-6417.67j,11658.1-7355.11j,9925.89-8384.79j,9545.29-9030.26j,8978.06-9553.91j,7941.08-9726.26j,7939.23-10228.6j,8021.56-10754.2j
5790952.7,918.078+448.568j,1352.06+633.924j,1907.21+806.88j,2541.65+991.993j,3303.41+1108.55j,4185.85+1102.64j,5124.22+1168.29j,6177.75+865.445j,7226.73+405.721j,8348.48+165.064j,9376.57-671.067j,10244.6-1562.46j,10968.6-2586.15j,11170.4-4092.25j,11766.6-5451.5j,11305.2-6474.01j,11556.3-7404.3j,9817.47-8399.68j,9433.72-9031.42j,8866.91-9540.38j,7837.77-9696.88j,7834.52-10192.5j,7914.79-10712.2j
5835136.874,920.728+448.906j,1356.06+634.167j,1913.13+806.315j,2549.74+990.312j,3314.1+1104.24j,4199.05+1093.46j,5139.81+1154.79j,6193.55+842.537j,7239.87+372.142j,8360.33+123.259j,9378.8-724.957j,10244.6-1562.46j,10942.9-2656.02j,11120.0-4160.67j,11692.0-5520.22j,11215.3-6528.8j,11454.0-7451.69j,9709.39-8412.98j,9322.79-9031.09j,8756.66-9525.58j,7735.54-9666.58j,7730.97-10155.6j,7809.27-10669.4j
