f_MHz,mu_real,mu_imag
0.154226396,18069.54286,20127.42281
0.155403122,17975.23241,20059.79144
0.156588827,17881.36347,19992.20432
0.157783578,17787.93452,19924.66328
0.158987445,17694.94404,19857.17017
0.160200497,17602.39051,19789.72678
0.161422805,17510.27242,19722.33491
0.162654439,17418.58823,19654.99634
0.16389547,17327.33644,19587.71282
0.16514597,17236.5155,19520.4861
0.166406011,17146.1239,19453.31791
0.167675666,17056.16012,19386.20994
0.168955008,16966.62263,19319.16391
0.170244112,16877.5099,19252.18147
0.171543051,16788.82041,19185.26429
0.172851901,16700.55264,19118.41402
0.174170737,16612.70504,19051.63228
0.175499636,16525.27611,18984.92068
0.176838674,16438.26432,18918.2808
0.178187929,16351.66813,18851.71424
0.179547478,16265.48602,18785.22255
0.180917401,16179.71646,18718.80728
0.182297776,16094.35794,18652.46995
0.183688683,16009.40892,18586.21207
0.185090202,15924.86788,18520.03514
0.186502415,15840.7333,18453.94064
0.187925403,15757.00365,18387.93003
0.189359248,15673.67741,18322.00477
0.190804033,15590.75306,18256.16627
0.192259841,15508.22907,18190.41597
0.193726758,15426.10393,18124.75525
0.195204866,15344.37611,18059.1855
0.196694252,15263.04409,17993.70809
0.198195003,15182.10637,17928.32437
0.199707203,15101.56142,17863.03568
0.201230942,15021.40772,17797.84334
0.202766306,14941.64376,17732.74866
0.204313385,14862.26804,17667.75292
0.205872268,14783.27903,17602.8574
0.207443045,14704.67523,17538.06336
0.209025807,14626.45512,17473.37204
0.210620646,14548.61721,17408.78468
0.212227652,14471.15998,17344.30248
0.21384692,14394.08193,17279.92664
0.215478543,14317.38156,17215.65836
0.217122614,14241.05737,17151.49879
0.21877923,14165.10785,17087.44909
0.220448486,14089.53152,17023.51039
0.222130477,14014.32687,16959.68384
0.223825302,13939.49242,16895.97052
0.225533059,13865.02666,16832.37154
0.227253845,13790.92812,16768.88798
0.22898776,13717.19531,16705.5209
0.230734906,13643.82673,16642.27135
0.232495381,13570.82091,16579.14037
0.234269289,13498.17637,16516.12899
0.236056732,13425.89162,16453.23821
0.237857812,13353.9652,16390.46902
0.239672634,13282.39563,16327.8224
0.241501304,13211.18143,16265.29933
0.243343925,13140.32114,16202.90075
0.245200606,13069.81329,16140.62759
0.247071453,12999.65642,16078.4808
0.248956574,12929.84907,16016.46127
0.250856079,12860.38977,15954.5699
0.252770076,12791.27708,15892.80757
0.254698677,12722.50953,15831.17516
0.256641993,12654.08568,15769.67352
0.258600136,12586.00408,15708.3035
0.26057322,12518.26329,15647.06592
0.262561358,12450.86186,15585.9616
0.264564665,12383.79835,15524.99134
0.266583257,12317.07133,15464.15594
0.26861725,12250.67937,15403.45617
0.270666763,12184.62103,15342.8928
0.272731913,12118.89488,15282.46657
0.27481282,12053.4995,15222.17823
0.276909605,11988.43348,15162.0285
0.279022387,11923.69538,15102.01809
0.281151289,11859.28381,15042.14772
0.283296435,11795.19733,14982.41806
0.285457948,11731.43456,14922.82979
0.287635953,11667.99407,14863.38358
0.289830576,11604.87447,14804.08007
0.292041943,11542.07437,14744.91991
0.294270183,11479.59235,14685.90373
0.296515424,11417.42704,14627.03214
0.298777796,11355.57704,14568.30574
0.30105743,11294.04097,14509.72513
